Village Name,Gram Panchayat,TALUK,district
Haripura,Doddashivara,Malur ,YADGIR
Settikal,Gummakal,Mulbagal ,YADGIR
Burakayalakote,Lakshmipura,Srinivaspur ,YADGIR
Kanimbele,Inora Hosahalli,Bangarpet ,YADGIR
Settiganahalli,Muduvathi,Kolar ,YADGIR
Kateri,Doddashivara,Malur ,YADGIR
Sinigehalli,Gummakal,Mulbagal ,YADGIR
Devareddipalli,Lakshmipura,Srinivaspur ,YADGIR
Karamangala,Inora Hosahalli,Bangarpet ,YADGIR
Settikothanur,Muduvathi,Kolar ,YADGIR
Kodur,Doddashivara,Malur ,YADGIR
Soorakunte,Gummakal,Mulbagal ,YADGIR
Gowdathatagadde,Lakshmipura,Srinivaspur ,YADGIR
Kasipura,Inora Hosahalli,Bangarpet ,YADGIR
Swamigala Gollahalli,Muduvathi,Kolar ,YADGIR
Puramakanahalli,Doddashivara,Malur ,YADGIR
Tuluvanatha,Gummakal,Mulbagal ,YADGIR
Kondasandra,Lakshmipura,Srinivaspur ,YADGIR
Madivala,Inora Hosahalli,Bangarpet ,YADGIR
Vadagere,Muduvathi,Kolar ,YADGIR
Sonnahalli,Doddashivara,Malur ,YADGIR
Gokunte,H Gollahalli,Mulbagal ,YADGIR
Kothapet,Lakshmipura,Srinivaspur ,YADGIR
Oombathguli,Inora Hosahalli,Bangarpet ,YADGIR
Arinaganahalli,Muduvadi,Kolar ,YADGIR
Vadaganahalli,Doddashivara,Malur ,YADGIR
Gollahalli,H Gollahalli,Mulbagal ,YADGIR
Lakshmipura,Lakshmipura,Srinivaspur ,YADGIR
Thyranahalli,Inora Hosahalli,Bangarpet ,YADGIR
Jannapalli,Muduvadi,Kolar ,YADGIR
Alahalli,Hasandahalli,Malur ,YADGIR
Harapanayakanahalli,H Gollahalli,Mulbagal ,YADGIR
Mallampalli,Lakshmipura,Srinivaspur ,YADGIR
Yaluvahalli,Inora Hosahalli,Bangarpet ,YADGIR
Jayasandra,Muduvadi,Kolar ,YADGIR
Balanaikanadoddi,Hasandahalli,Malur ,YADGIR
Kalikere,H Gollahalli,Mulbagal ,YADGIR
Marimakalapalli,Lakshmipura,Srinivaspur ,YADGIR
Doddagandlahalli,Jakkarasakuppa,Bangarpet ,YADGIR
Muduvadi,Muduvadi,Kolar ,YADGIR
Bandahatti,Hasandahalli,Malur ,YADGIR
Kondathimmanahalli,H Gollahalli,Mulbagal ,YADGIR
Pacharamakalapalli,Lakshmipura,Srinivaspur ,YADGIR
Jakkarasanakuppa,Jakkarasakuppa,Bangarpet ,YADGIR
Muduvadi Hosahalli,Muduvadi,Kolar ,YADGIR
Byranadoddi,Hasandahalli,Malur ,YADGIR
Mugavanahalli,H Gollahalli,Mulbagal ,YADGIR
Pathakote,Lakshmipura,Srinivaspur ,YADGIR
Madivala Majara Kothur,Jakkarasakuppa,Bangarpet ,YADGIR
Naganayakanahalli,Muduvadi,Kolar ,YADGIR
Doddadanavahalli,Hasandahalli,Malur ,YADGIR
Nachagundlahalli,H Gollahalli,Mulbagal ,YADGIR
Sheshapura,Lakshmipura,Srinivaspur ,YADGIR
Maradagatta,Jakkarasakuppa,Bangarpet ,YADGIR
Thotliganahalli,Muduvadi,Kolar ,YADGIR
Guddadahosahalli,Hasandahalli,Malur ,YADGIR
Nachahalli,H Gollahalli,Mulbagal ,YADGIR
Thammareddigaripalli,Lakshmipura,Srinivaspur ,YADGIR
Settikunte,Jakkarasakuppa,Bangarpet ,YADGIR
Vanarasi,Muduvadi,Kolar ,YADGIR
Hasandahalli,Hasandahalli,Malur ,YADGIR
Sangasandra,H Gollahalli,Mulbagal ,YADGIR
Thoopalli,Lakshmipura,Srinivaspur ,YADGIR
Yethur,Jakkarasakuppa,Bangarpet ,YADGIR
Besthenahalli,Marjenahalli,Kolar ,YADGIR
Kuppur,Hasandahalli,Malur ,YADGIR
V Hosahalli,H Gollahalli,Mulbagal ,YADGIR
Arikere,Lakshmisagara,Srinivaspur ,YADGIR
Bodagurki,Kamasamudra,Bangarpet ,YADGIR
Gopasandra,Marjenahalli,Kolar ,YADGIR
M Hosahalli,Hasandahalli,Malur ,YADGIR
Vommasandra,H Gollahalli,Mulbagal ,YADGIR
Beerganahalli,Lakshmisagara,Srinivaspur ,YADGIR
Dasarlahalli,Kamasamudra,Bangarpet ,YADGIR
Kamadenahalli,Marjenahalli,Kolar ,YADGIR
Mulakamanadoddi,Hasandahalli,Malur ,YADGIR
Ananthapur,Hanumanahalli,Mulbagal ,YADGIR
Chintamakalapalli,Lakshmisagara,Srinivaspur ,YADGIR
Janagutta,Kamasamudra,Bangarpet ,YADGIR
Parehosahalli,Marjenahalli,Kolar ,YADGIR
Natuvarahalli,Hasandahalli,Malur ,YADGIR
Bandarahalli,Hanumanahalli,Mulbagal ,YADGIR
Manjulanagara,Lakshmisagara,Srinivaspur ,YADGIR
Kamasamudra,Kamasamudra,Bangarpet ,YADGIR
Varadenahalli,Marjenahalli,Kolar ,YADGIR
Obatti Agrahara,Hasandahalli,Malur ,YADGIR
Bettagerahalli,Hanumanahalli,Mulbagal ,YADGIR
Shyagatur,Lakshmisagara,Srinivaspur ,YADGIR
Kongarahalli,Kamasamudra,Bangarpet ,YADGIR
Yalachipura,Marjenahalli,Kolar ,YADGIR
Rayasandra,Hasandahalli,Malur ,YADGIR
Bheeampura,Hanumanahalli,Mulbagal ,YADGIR
Vadigepalli,Lakshmisagara,Srinivaspur ,YADGIR
Lakkenahalli,Kamasamudra,Bangarpet ,YADGIR
Yalavara,Marjenahalli,Kolar ,YADGIR
Sonnanadoddi,Hasandahalli,Malur ,YADGIR
Hanamanahalli,Hanumanahalli,Mulbagal ,YADGIR
Yadarur,Lakshmisagara,Srinivaspur ,YADGIR
Nadampalli,Kamasamudra,Bangarpet ,YADGIR
Agnihalli,Manigatta,Kolar ,YADGIR
Thirtha Bandahatti,Hasandahalli,Malur ,YADGIR
Kothamangala,Hanumanahalli,Mulbagal ,YADGIR
Bagalahalli,Mastenahalli,Srinivaspur ,YADGIR
Narinetha,Kamasamudra,Bangarpet ,YADGIR
Annihalli,Manigatta,Kolar ,YADGIR
Tholakanahalli,Hasandahalli,Malur ,YADGIR
Krishnapura,Hanumanahalli,Mulbagal ,YADGIR
Bangavadi,Mastenahalli,Srinivaspur ,YADGIR
Vattigal,Kamasamudra,Bangarpet ,YADGIR
Byalahalli,Manigatta,Kolar ,YADGIR
Tholasanadoddi,Hasandahalli,Malur ,YADGIR
Kurubarahalli,Hanumanahalli,Mulbagal ,YADGIR
Bissanahalli,Mastenahalli,Srinivaspur ,YADGIR
Yelachamande,Kamasamudra,Bangarpet ,YADGIR
Gooliganahalli,Manigatta,Kolar ,YADGIR
Varadapura,Hasandahalli,Malur ,YADGIR
Majara Agrahara,Hanumanahalli,Mulbagal ,YADGIR
Booraganahalli,Mastenahalli,Srinivaspur ,YADGIR
Bommandahalli,Kammasandra,Bangarpet ,YADGIR
Karahalli,Manigatta,Kolar ,YADGIR
Venkatapura,Hasandahalli,Malur ,YADGIR
Meleri,Hanumanahalli,Mulbagal ,YADGIR
Gandlahalli,Mastenahalli,Srinivaspur ,YADGIR
Buvalahalli,Kammasandra,Bangarpet ,YADGIR
Kuduvanahalli,Manigatta,Kolar ,YADGIR
Amani Arasikere,Huladenahalli,Malur ,YADGIR
Nalluru,Hanumanahalli,Mulbagal ,YADGIR
Gowdahalli,Mastenahalli,Srinivaspur ,YADGIR
Byatarayanahalli,Kammasandra,Bangarpet ,YADGIR
Manighatta,Manigatta,Kolar ,YADGIR
Byappanahatti,Huladenahalli,Malur ,YADGIR
Bangavadi,Hebbani,Mulbagal ,YADGIR
